Magnitude,Depth,Day,Time,Longitude,Latitude,Region,Explore,Timestamp
4.6,58.6,2015-09-07,07:06:10,12.63,-88.25,OFF COAST OF CENTRAL AMERICA,5157944,1441634770
4.7,11.9,2015-09-07,05:51:17,8.61,-77.83,PANAMA-COLOMBIA BORDER REGION,5157939,1441630277
4.4,10,2015-09-07,00:37:39,39.17,40.33,TURKEY,5157930,1441611459
4.1,64.2,2015-09-06,03:21:37,35.94,78.4,EASTERN KASHMIR,5157862,1441534897
4.6,141,2015-09-05,23:14:54,3.96,-76.32,COLOMBIA,5157846,1441520094
4.2,30.8,2015-09-05,20:34:17,41.36,75.67,KYRGYZSTAN,5157841,1441510457
2.8,31,2015-09-05,17:47:41,19.11,-64.85,VIRGIN ISLANDS,5157968,1441500461
2.7,20,2015-09-05,17:45:31,19.31,-64.89,VIRGIN ISLANDS,5157966,1441500331
2.8,64,2015-09-05,17:29:21,19.24,-64.93,VIRGIN ISLANDS,5157964,1441499361
2.9,62,2015-09-05,17:23:46,19.19,-64.91,VIRGIN ISLANDS,5157965,1441499026
3.2,45,2015-09-05,17:09:45,19.41,-65.02,PUERTO RICO REGION,5157963,1441498185
2.6,11.5,2015-09-05,07:01:17,47.68,-70.05,"SOUTHERN QUEBEC, CANADA",5157857,1441461677
4.2,211.1,2015-09-05,04:15:24,36.5,70.25,"HINDU KUSH REGION, AFGHANISTAN",5157777,1441451724
2.8,86,2015-09-04,22:44:54,18.59,-65.17,PUERTO RICO REGION,5157761,1441431894
4,79.6,2015-09-04,20:45:57,36.74,70.69,"HINDU KUSH REGION, AFGHANISTAN",5157756,1441424757
4.7,11.1,2015-09-04,20:44:37,4.24,-82.75,SOUTH OF PANAMA,5157755,1441424677
4.8,10,2015-09-04,10:35:08,5.96,61.38,CARLSBERG RIDGE,5157703,1441388108
5.4,13.8,2015-09-04,04:49:38,40.93,47.51,EASTERN CAUCASUS,5157666,1441367378
4.1,15,2015-09-03,17:57:48,27.46,75.57,NORTHERN INDIA,5157594,1441328268
4.5,15,2015-09-03,15:30:49,52.41,89.76,"SOUTHWESTERN SIBERIA, RUSSIA",5157599,1441319449
4.5,16.2,2015-09-03,01:44:41,30.65,28.48,EGYPT,5157512,1441269881
4.2,31.3,2015-09-02,21:09:53,37.46,68.33,AFGHANISTAN-TAJIKISTAN BORD REG.,5157496,1441253393
4.2,115.1,2015-09-02,14:40:11,36.46,71.05,AFGHANISTAN-TAJIKISTAN BORD REG.,5157466,1441230011
5,10,2015-09-02,07:20:30,14.04,53.75,OWEN FRACTURE ZONE REGION,5157407,1441203630
2.9,9.2,2015-09-02,01:46:33,36.51,-89.57,"NEW MADRID, MISSOURI REGION",5157375,1441183593
4.9,10,2015-09-02,01:13:51,14.04,53.88,OWEN FRACTURE ZONE REGION,5157373,1441181631
4.1,15.5,2015-09-01,23:06:40,27.66,86.3,NEPAL,5157378,1441174000
4.7,240.2,2015-09-01,19:17:07,36.45,71.09,AFGHANISTAN-TAJIKISTAN BORD REG.,5157326,1441160227
3.4,71,2015-09-01,18:19:08,19.29,-64.88,VIRGIN ISLANDS,5157463,1441156748
3.2,41,2015-09-01,17:15:08,19.19,-64.21,VIRGIN ISLANDS,5157456,1441152908
3.3,50,2015-09-01,16:59:11,19.09,-64.17,VIRGIN ISLANDS,5157332,1441151951
2.8,24,2015-09-01,15:18:30,18.38,-67.11,MONA PASSAGE,5157322,1441145910
3.4,34,2015-09-01,13:30:50,19.28,-67,MONA PASSAGE,5157312,1441139450
4.4,38.9,2015-09-01,05:09:30,12.66,-89.21,OFF COAST OF CENTRAL AMERICA,5157233,1441109370
3.7,27.2,2015-09-01,02:33:24,37.32,44.81,TURKEY-IRAN BORDER REGION,5157227,1441100004
4.7,126.6,2015-08-31,16:13:41,38.34,73.85,TAJIKISTAN-XINJIANG BORDER REG.,5157166,1441062821
2.4,4.6,2015-08-31,15:29:24,36.09,-89.77,"NEW MADRID, MISSOURI REGION",5157154,1441060164
4.3,35,2015-08-31,13:44:39,13.05,-90.06,NEAR COAST OF GUATEMALA,5157159,1441053879
2.6,81,2015-08-31,00:55:34,18.55,-65.08,PUERTO RICO REGION,5157099,1441007734
4.3,75,2015-08-31,00:27:50,35.85,77.48,EASTERN KASHMIR,5157093,1441006070
4.4,141.3,2015-08-30,15:13:12,6.96,-73.16,NORTHERN COLOMBIA,5157055,1440972792
4.9,12.7,2015-08-30,14:38:41,37.13,57.8,TURKMENISTAN-IRAN BORDER REGION,5157051,1440970721
4.3,107.8,2015-08-30,13:32:00,10.86,-62.08,NEAR COAST OF VENEZUELA,5157036,1440966720
4.7,8.8,2015-08-30,13:28:01,37.78,21.25,SOUTHERN GREECE,5157037,1440966481
4.5,10,2015-08-30,13:17:34,27.63,85.64,NEPAL,5157041,1440965854
4.2,15.3,2015-08-29,20:26:19,40.17,77.56,KYRGYZSTAN-XINJIANG BORDER REG.,5156986,1440905179
4.6,10.5,2015-08-29,20:25:14,38.48,12.18,SICILY,5156981,1440905114
4,2.4,2015-08-29,18:47:04,46.28,13.61,AUSTRIA,5156977,1440899224
4,86.1,2015-08-29,18:12:49,36.29,27.69,DODECANESE ISLANDS,5156976,1440897169
4.1,28.7,2015-08-29,04:55:35,34.59,26.07,CRETE,5156922,1440849335
4.2,12.4,2015-08-28,19:21:57,25.41,89.52,INDIA-BANGLADESH BORDER REGION,5156964,1440814917
4.4,44.4,2015-08-28,13:26:42,41.74,80.84,"SOUTHERN XINJIANG, CHINA",5156868,1440793602
3.3,8.8,2015-08-27,22:47:51,46.18,-66.56,"NEW BRUNSWICK, CANADA",5156806,1440740871
2.6,8,2015-08-27,16:52:26,19.06,-64.54,VIRGIN ISLANDS,5156802,1440719546
2.8,12,2015-08-27,16:27:30,19.14,-64.48,VIRGIN ISLANDS,5156800,1440718050
4.5,10,2015-08-27,16:01:47,40.78,21.23,GREECE,5156798,1440716507
3.3,68,2015-08-27,15:47:29,18.97,-64.37,VIRGIN ISLANDS,5156797,1440715649
3.7,29,2015-08-27,15:42:14,19.18,-64.45,VIRGIN ISLANDS,5156796,1440715334
5.1,10,2015-08-27,10:50:57,26.92,-44.25,NORTHERN MID-ATLANTIC RIDGE,5156764,1440697857
4.8,26.7,2015-08-27,10:16:30,42.09,83.23,"NORTHERN XINJIANG, CHINA",5156758,1440695790
4.2,10,2015-08-27,00:47:19,34.27,25.57,CRETE,5156717,1440661639
